City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sorland,67.667,12.6934,290.07,82,0,6.69,NO,1690901353
1,buzim,45.0547,16.0319,302.19,49,81,3.84,BA,1690901354
2,rikitea,-23.1203,-134.9692,294.73,65,76,8.63,PF,1690901355
3,klaksvik,62.2266,-6.589,286.66,88,91,6.56,FO,1690901356
4,albany,42.6001,-73.9662,294.91,62,4,0.45,US,1690901182
5,lagos,6.5833,3.75,300.33,93,100,3.85,NG,1690901255
6,deputatskiy,69.3,139.9,277.12,90,72,1.7,RU,1690901360
7,busselton,-33.65,115.3333,290.2,71,2,9.62,AU,1690901361
8,hithadhoo,-0.6,73.0833,301.21,72,12,2.65,MV,1690901363
9,porto novo,6.4965,2.6036,300.05,81,98,5.73,BJ,1690901138
10,punta arenas,-53.15,-70.9167,276.29,75,61,9.51,CL,1690901366
11,inhambane,-23.865,35.3833,292.72,73,39,6.63,MZ,1690901367
12,saldanha,-33.0117,17.9442,292.18,66,56,3.91,ZA,1690901369
13,norman wells,65.282,-126.8329,287.17,77,40,2.06,CA,1690901370
14,tamboril,19.4854,-70.611,303.39,79,40,4.12,DO,1690901371
15,tasiilaq,65.6145,-37.6368,280.24,82,27,1.7,GL,1690901372
16,hermanus,-34.4187,19.2345,289.15,66,43,3.75,ZA,1690901374
17,katsuura,35.1333,140.3,299.48,91,90,5.44,JP,1690901375
18,jamestown,42.097,-79.2353,294.83,77,0,0.89,US,1690901216
19,whitianga,-36.8333,175.7,286.18,88,94,7.16,NZ,1690901377
20,ilulissat,69.2167,-51.1,282.16,71,20,1.54,GL,1690901378
21,pauini,-7.7136,-66.9764,307.85,29,11,1.25,BR,1690901379
22,butaritari,3.0707,172.7902,300.82,75,69,2.37,KI,1690901380
23,mahebourg,-20.4081,57.7,297.18,88,40,2.57,MU,1690901382
24,launceston,-41.45,147.1667,276.57,88,34,2.06,AU,1690901322
25,hilo,19.7297,-155.09,295.51,98,100,3.09,US,1690901164
26,comodoro rivadavia,-45.8667,-67.5,284.07,40,0,18.52,AR,1690901385
27,bairiki,1.3292,172.9752,299.15,89,40,1.03,KI,1690901386
28,deori khas,23.4,79.0167,299.3,84,100,4.63,IN,1690901387
29,alta floresta,-9.8756,-56.0861,308.05,36,0,4.12,BR,1690901389
30,svetlaya,46.5389,138.3297,294.45,87,91,2.89,RU,1690901390
31,atar,20.5169,-13.0499,314.53,18,0,8.03,MR,1690901391
32,palmer,42.1584,-72.3287,296.06,55,20,4.63,US,1690901393
33,arraial do cabo,-22.9661,-42.0278,298.13,61,0,3.6,BR,1690901394
34,pevek,69.7008,170.3133,274.47,97,100,3.07,RU,1690901395
35,puerto ayora,-0.7393,-90.3518,298.46,91,64,1.79,EC,1690901396
36,nikolskoye,59.7035,30.7861,299.09,47,87,3.27,RU,1690901397
37,shahreza,32.0339,51.8794,304.65,8,0,7.64,IR,1690901398
38,mar del plata,-38.0023,-57.5575,293.68,74,40,7.72,AR,1690901134
39,kahului,20.8947,-156.47,298.06,79,0,5.14,US,1690901401
40,marawi,7.9986,124.2928,293.84,85,99,2.41,PH,1690901402
41,yellowknife,62.456,-114.3525,290.44,67,75,6.17,CA,1690901405
42,bathsheba,13.2167,-59.5167,303.49,84,20,4.63,BB,1690901406
43,atuona,-9.8,-139.0333,298.95,84,74,11.82,PF,1690901407
44,hovd,48.0056,91.6419,295.29,47,42,0.23,MN,1690901409
45,provideniya,64.3833,-173.3,282.58,92,99,1.82,RU,1690901410
46,guerrero negro,27.9769,-114.0611,296.98,65,11,2.23,MX,1690901180
47,ngunguru,-35.6167,174.5,286.34,84,20,7.14,NZ,1690901412
48,salalah,17.0151,54.0924,300.2,89,100,5.14,OM,1690901414
49,paamiut,61.994,-49.6678,278.46,90,34,8.08,GL,1690901415
50,bluff,-46.6,168.3333,279.71,69,99,14.12,NZ,1690901416
51,codrington,-38.2667,141.9667,284.26,72,100,2.01,AU,1690901418
52,ribeira grande,38.5167,-28.7,300.37,78,20,6.69,PT,1690901419
53,portland,45.5234,-122.6762,291.24,81,0,2.06,US,1690901311
54,mikuni,36.2171,136.1519,301.1,83,90,2.94,JP,1690901422
55,bethel,41.3712,-73.414,297.53,57,0,3.6,US,1690901423
56,khatanga,71.9667,102.5,291.97,66,6,1.59,RU,1690901424
57,avarua,-21.2078,-159.775,296.18,83,100,5.14,CK,1690901425
58,raigarh,21.9,83.4,299.05,92,100,4.42,IN,1690901427
59,port keats,-14.25,129.55,296.45,33,60,4.49,AU,1690901428
60,talnakh,69.4865,88.3972,296.6,66,7,3.19,RU,1690901429
61,ushuaia,-54.8,-68.3,275.96,87,75,13.38,AR,1690901430
62,koumac,-20.5667,164.2833,291.24,76,1,5.17,NC,1690901438
63,yulara,-25.2406,130.9889,287.56,32,0,4.71,AU,1690901439
64,new norfolk,-42.7826,147.0587,278.87,94,84,1.32,AU,1690901441
65,pisco,-13.7,-76.2167,292.18,82,100,1.54,PE,1690901442
66,chokurdakh,70.6333,147.9167,277.39,79,66,3.28,RU,1690901443
67,jalu,29.0331,21.5482,310.96,18,0,3.1,LY,1690901444
68,gamba,-2.65,10.0,296.64,72,21,4.78,GA,1690901445
